Flare_ID,Date,Time (UT),flare_class,EO_tstart,EO_tpeak,EO_tend,EO_xcen,EO_ycen,depec_file
20190415193100,2019-04-15,19:31:00,B3.3,2019-04-15 19:30:04,2019-04-15 19:32:21,2019-04-15 19:33:11,519.1,152.3,EOVSA_20190415_B3flare
20210417164600,2021-04-17,16:46:00,B9.0,2021-04-17 16:41:53,2021-04-17 16:51:29,2021-04-17 16:54:20,,,EOVSA_20210417_B9flare
20210419233600,2021-04-19,23:36:00,M1.0,2021-04-19 23:32:11,2021-04-19 23:55:20,2021-04-19 23:59:29,,,EOVSA_20210419_M1flare
20210505223000,2021-05-05,22:30:00,B5.0,2021-05-05 22:28:00,2021-05-05 22:30:00,2021-05-05 22:32:00,-666.8,-143.4,EOVSA_20210505_B1flare
20210507190000,2021-05-07,19:00:00,M4.0,2021-05-07 18:50:32,2021-05-07 19:01:45,2021-05-07 19:18:03,-899.7,280.8,EOVSA_20210507_M4flare
20210508183000,2021-05-08,18:30:00,C9.0,2021-05-08 18:31:08,2021-05-08 18:31:27,2021-05-08 19:04:14,,,EOVSA_20210508_C9flare
20210509135500,2021-05-09,13:55:00,C4.0,2021-05-09 13:47:54,2021-05-09 13:55:02,2021-05-09 14:24:16,-707.0,333.0,EOVSA_20210509_C4flare
20210517190500,2021-05-17,19:05:00,B5.0,2021-05-17 18:54:57,2021-05-17 19:06:25,2021-05-17 19:11:10,,,EOVSA_20210517_B5flare
20210521192500,2021-05-21,19:25:00,C5.0,2021-05-21 19:23:40,2021-05-21 19:29:49,2021-05-21 19:34:23,-452.8,316.1,EOVSA_20210521_C5flare
20210522161000,2021-05-22,16:10:00,C1.0,2021-05-22 16:08:31,2021-05-22 16:14:39,2021-05-22 16:23:45,-290.0,343.8,EOVSA_20210522_C1flare
20210522171000,2021-05-22,17:10:00,M1.0,2021-05-22 17:07:57,2021-05-22 17:09:23,2021-05-22 17:23:33,,,EOVSA_20210522_M1flare
20210522213000,2021-05-22,21:30:00,M1.4,2021-05-22 21:31:08,2021-05-22 21:34:50,2021-05-22 22:03:23,,,EOVSA_20210522_M1.4flare
20210522231100,2021-05-22,23:11:00,C7.0,2021-05-22 23:05:28,2021-05-22 23:14:52,2021-05-22 23:23:47,-224.3,317.4,EOVSA_20210522_C7flare
20210523170000,2021-05-23,17:00:00,C2.0,2021-05-23 16:59:51,2021-05-23 17:03:21,2021-05-23 17:13:37,-44.9,366.2,EOVSA_20210523_C2flare
20210527220000,2021-05-27,22:00:00,C1.0,2021-05-27 21:58:00,2021-05-27 22:00:00,2021-05-27 22:02:00,,,EOVSA_20210527_C1flare
20210527231000,2021-05-27,23:10:00,C7.0,2021-05-27 23:08:00,2021-05-27 23:10:00,2021-05-27 23:12:00,713.4,314.0,EOVSA_20210527_C7flare
20210528223000,2021-05-28,22:30:00,C9.0,2021-05-28 22:24:10,2021-05-28 23:41:27,2021-05-28 23:53:38,825.8,319.1,EOVSA_20210528_C9flare
20210703142700,2021-07-03,14:27:00,X1.5,2021-07-03 14:26:28,2021-07-03 14:28:40,2021-07-03 14:36:23,965.7,425.4,EOVSA_20210703_X1flare
20210706191500,2021-07-06,19:15:00,C1.1,2021-07-06 19:13:08,2021-07-06 19:14:31,2021-07-06 19:16:02,880.3,-320.6,EOVSA_20210706_flare1
20210706205800,2021-07-06,20:58:00,C1.2,2021-07-06 20:57:45,2021-07-06 20:58:32,2021-07-06 21:02:43,,,EOVSA_20210706_flare2
20210706214900,2021-07-06,21:49:00,C1.1,2021-07-06 21:48:19,2021-07-06 21:48:57,2021-07-06 21:52:32,872.5,-319.6,EOVSA_20210706_flare3
20210709172000,2021-07-09,17:20:00,C4.7,2021-07-09 17:20:29,2021-07-09 17:21:39,2021-07-09 17:25:33,834.8,464.5,EOVSA_20210709_C4flare
20210820155500,2021-08-20,15:55:00,C3.0,2021-08-20 15:46:12,2021-08-20 15:52:47,2021-08-20 15:56:27,,,EOVSA_20210820_C3flare
20210820214500,2021-08-20,21:45:00,C1.4,2021-08-20 21:46:40,2021-08-20 22:08:57,2021-08-20 22:32:26,-958.3,851.9,EOVSA_20210820_C1.4flare
20210821184100,2021-08-21,18:41:00,B3.9,2021-08-21 18:40:46,2021-08-21 18:41:07,2021-08-21 18:47:15,-873.4,280.8,EOVSA_20210821_B3.9flare
20210821215700,2021-08-21,21:57:00,B3.9,2021-08-21 22:01:31,2021-08-21 22:26:48,2021-08-21 22:32:06,-903.3,341.6,EOVSA_20210821_B4.7flare
20210821222900,2021-08-21,22:29:00,B4.7,2021-08-21 22:01:31,2021-08-21 22:26:48,2021-08-21 22:32:06,,,EOVSA_20210821_B4.7flare
20210826181200,2021-08-26,18:12:00,C3.0,2021-08-26 18:31:09,2021-08-26 18:25:19,2021-08-26 19:02:35,-213.3,238.6,EOVSA_20210826_C3flare
20210826232000,2021-08-26,23:20:00,C3.9,2021-08-26 23:19:22,2021-08-26 23:21:23,2021-08-26 23:24:23,-295.3,-582.5,EOVSA_20210826_C3.9flare
20210827210000,2021-08-27,21:00:00,C7.3,2021-08-27 20:57:00,2021-08-27 21:00:54,2021-08-27 21:49:43,-60.1,-531.8,EOVSA_20210827_C7flare
20210829172100,2021-08-29,17:21:00,C2.9,2021-08-29 17:09:32,2021-08-29 17:18:12,2021-08-29 18:00:05,273.4,-525.3,EOVSA_20210829_C3flare
20210830161200,2021-08-30,16:12:00,C2.0,2021-08-30 16:13:47,2021-08-30 16:14:28,2021-08-30 16:33:31,274.8,-516.0,EOVSA_20210830_C2flare
20210830182300,2021-08-30,18:23:00,B7.0,2021-08-30 18:20:03,2021-08-30 18:23:19,2021-08-30 18:27:18,499.4,-518.9,EOVSA_20210830_B7flare
20210830204700,2021-08-30,20:47:00,B8.0,2021-08-30 20:46:43,2021-08-30 20:47:33,2021-08-30 20:53:02,450.2,-510.5,EOVSA_20210830_B8flare
20210831144800,2021-08-31,14:48:00,B2.5,2021-08-31 14:47:48,2021-08-31 15:01:34,2021-08-31 15:06:23,,,EOVSA_20210831_Bflares
20210831190800,2021-08-31,19:08:00,B7.1,2021-08-31 19:08:05,2021-08-31 19:09:01,2021-08-31 19:18:55,618.4,-504.3,EOVSA_20210831_B7flare
20210908172400,2021-09-08,17:24:00,C8.3,2021-09-08 17:20:20,2021-09-08 17:24:42,2021-09-08 17:49:15,-178.4,-388.7,EOVSA_20210908_C8flare
20210920192400,2021-09-20,19:24:00,B4.0,2021-09-20 19:07:43,2021-09-20 19:23:04,2021-09-20 19:57:23,-750.8,-476.9,EOVSA_20210920_flares0
20210920210000,2021-09-20,21:00:00,B2.5,2021-09-20 20:35:23,2021-09-20 20:44:30,2021-09-20 21:25:38,-654.7,-535.6,EOVSA_20210920_flares1
20210920215200,2021-09-20,21:52:00,B3.3,2021-09-20 21:40:50,2021-09-20 21:50:58,2021-09-20 22:02:20,-648.7,-538.6,EOVSA_20210920_flares2
20210921202400,2021-09-21,20:24:00,B5.1,2021-09-21 20:22:57,2021-09-21 20:24:01,2021-09-21 20:28:19,-575.6,-512.9,EOVSA_20210921_Bflare
20210922201200,2021-09-22,20:12:00,C1.1,2021-09-22 20:10:53,2021-09-22 20:12:40,2021-09-22 20:15:47,-413.5,-534.9,EOVSA_20210922_Cflare
20210923152400,2021-09-23,15:24:00,M1.9,2021-09-23 15:23:53,2021-09-23 15:26:05,2021-09-23 15:42:07,1039.5,-1040.4,EOVSA_20210923_M2flare
20210923204000,2021-09-23,20:40:00,C1.0,2021-09-23 20:39:18,2021-09-23 20:40:27,2021-09-23 20:47:57,-230.6,-534.1,EOVSA_20210923_Cflare
